K->K,K	M->M,M	O->O,O
1	10	2	2
2	11	2	2
3	7	2	4
4	10	2	2
5	12	2	1
6	8	2	4
7	11	2	2
8	8	2	4
9	10	2	2
10	8	2	4
11	9	2	2
12	7	2	4
13	7	2	4
14	12	2	1
15	7	2	4
16	7	2	4
17	10	2	2
18	11	2	2
19	10	2	2
20	10	2	2
21	8	2	3
22	9	2	2
23	11	2	2
24	10	2	1
25	8	2	4
26	8	1	3
27	10	2	2
28	10	2	2
29	10	2	2
30	11	2	2
31	10	2	2
32	8	2	4
33	11	2	3
34	9	2	2
35	9	2	2
36	11	2	2
37	7	2	2
38	11	2	2
39	6	2	4
40	11	2	2
41	11	2	2
42	9	2	2
43	8	2	4
44	10	2	2
45	7	2	4
46	11	2	2
47	10	2	2
48	11	2	2
49	8	2	2
50	11	2	2
